time,temperature_2m,dew_point_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,cloud_cover,cloud_cover_mid,cloud_cover_low,cloud_cover_high,pressure_msl,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,vapour_pressure_deficit
2020-01-01T00:00,22.7,21.8,25.5,95,0.2,0.2,94,66,39,80,1020.7,1020.0,23.3,0.508,0.15
2020-01-01T01:00,22.9,21.9,26.0,94,0.3,0.3,100,47,100,69,1020.3,1019.6,23.1,0.508,0.16
2020-01-01T02:00,22.9,21.5,25.6,92,0.4,0.4,91,61,64,68,1020.0,1019.3,23.1,0.51,0.23
2020-01-01T03:00,23.2,21.7,26.4,91,0.2,0.2,89,75,62,44,1019.5,1018.8,23.0,0.509,0.26
2020-01-01T04:00,22.6,21.3,24.7,92,0.3,0.3,98,47,97,84,1019.3,1018.6,22.9,0.51,0.22
2020-01-01T05:00,23.1,21.6,25.9,92,0.2,0.2,96,54,91,93,1019.5,1018.8,22.8,0.508,0.24
2020-01-01T06:00,23.0,21.5,25.4,91,0.1,0.1,100,41,96,96,1019.8,1019.1,22.8,0.507,0.25
2020-01-01T07:00,22.9,21.4,25.1,91,0.2,0.2,99,81,36,98,1021.0,1020.3,23.4,0.506,0.24
2020-01-01T08:00,23.8,21.7,26.1,88,0.3,0.3,100,59,93,96,1021.7,1021.0,23.4,0.507,0.34
2020-01-01T09:00,23.9,21.7,25.5,87,0.3,0.3,99,69,26,95,1022.3,1021.6,23.5,0.508,0.38
2020-01-01T10:00,24.2,21.7,25.8,86,0.3,0.3,96,74,57,82,1022.3,1021.6,23.9,0.508,0.42
2020-01-01T11:00,24.5,21.5,26.0,84,0.2,0.2,94,42,50,88,1022.0,1021.3,24.2,0.506,0.5
2020-01-01T12:00,24.7,21.6,26.4,83,0.3,0.3,95,33,43,89,1020.9,1020.2,24.6,0.506,0.53
2020-01-01T13:00,24.5,21.9,26.3,85,0.2,0.2,94,36,22,91,1020.1,1019.4,25.1,0.504,0.45
2020-01-01T14:00,24.7,21.9,26.5,84,0.1,0.1,96,33,18,93,1019.2,1018.5,25.5,0.503,0.49
2020-01-01T15:00,24.5,21.6,26.0,84,0.1,0.1,84,28,20,75,1019.0,1018.3,25.7,0.501,0.49
2020-01-01T16:00,24.3,21.4,26.0,84,0.1,0.1,38,25,23,12,1019.2,1018.5,25.4,0.499,0.48
2020-01-01T17:00,23.8,21.3,25.8,86,0.0,0.0,45,38,28,0,1019.6,1018.9,24.8,0.498,0.42
2020-01-01T18:00,23.4,21.1,25.0,87,0.1,0.1,65,60,25,12,1020.0,1019.3,24.3,0.498,0.38
2020-01-01T19:00,23.7,20.9,25.6,84,0.1,0.1,81,18,25,20,1021.3,1020.6,25.2,0.497,0.47
2020-01-01T20:00,23.8,20.9,25.5,84,0.1,0.1,36,32,23,0,1021.7,1021.0,24.5,0.497,0.48
2020-01-01T21:00,23.8,20.7,25.3,83,0.1,0.1,37,21,29,0,1021.9,1021.2,24.1,0.496,0.51
2020-01-01T22:00,23.5,20.6,25.2,84,0.2,0.2,57,55,21,0,1021.8,1021.1,23.7,0.497,0.47
2020-01-01T23:00,23.3,21.1,25.3,87,0.2,0.2,45,40,24,0,1021.7,1021.0,23.4,0.497,0.37
2020-01-02T00:00,23.4,21.0,25.4,86,0.1,0.1,30,26,15,0,1021.4,1020.7,23.2,0.497,0.39
2020-01-02T01:00,23.2,20.9,25.1,87,0.1,0.1,57,56,10,0,1020.8,1020.1,23.1,0.496,0.38
2020-01-02T02:00,23.3,20.8,25.5,86,0.1,0.1,65,59,25,9,1020.3,1019.6,23.0,0.496,0.4
2020-01-02T03:00,23.0,20.9,25.3,88,0.1,0.1,43,39,23,0,1020.2,1019.5,22.8,0.497,0.33
2020-01-02T04:00,22.9,21.0,25.8,89,0.2,0.2,54,49,35,5,1020.3,1019.6,22.7,0.498,0.31
2020-01-02T05:00,22.7,20.9,25.7,90,0.1,0.1,49,40,36,5,1020.7,1020.0,22.6,0.498,0.29
2020-01-02T06:00,22.9,20.9,25.7,88,0.3,0.3,76,70,54,0,1020.9,1020.2,22.5,0.5,0.33
2020-01-02T07:00,23.1,21.3,26.1,90,0.4,0.4,79,29,37,0,1021.5,1020.8,23.4,0.505,0.29
2020-01-02T08:00,23.8,21.2,26.4,85,0.2,0.2,50,48,36,0,1022.4,1021.7,23.5,0.505,0.43
2020-01-02T09:00,23.9,21.4,26.2,86,0.2,0.2,50,45,43,0,1022.7,1022.0,23.9,0.504,0.43
2020-01-02T10:00,24.5,21.1,26.6,81,0.2,0.2,55,50,48,0,1022.7,1022.0,24.6,0.502,0.57
2020-01-02T11:00,24.4,21.0,26.4,81,0.1,0.1,85,78,84,0,1022.2,1021.5,24.9,0.501,0.58
2020-01-02T12:00,24.4,21.4,26.6,84,0.1,0.1,100,100,95,0,1021.4,1020.7,25.1,0.499,0.5
2020-01-02T13:00,24.4,21.3,26.4,83,0.2,0.2,100,100,100,1,1020.4,1019.7,25.5,0.498,0.52
2020-01-02T14:00,24.3,21.1,25.8,82,0.2,0.2,84,83,60,0,1019.6,1018.9,25.8,0.497,0.54
2020-01-02T15:00,24.0,21.5,25.7,86,0.1,0.1,97,96,49,4,1019.3,1018.6,25.5,0.496,0.42
2020-01-02T16:00,23.8,21.4,25.6,87,0.1,0.1,96,95,55,1,1019.2,1018.5,25.1,0.496,0.39
2020-01-02T17:00,23.6,21.0,25.3,85,0.1,0.1,100,100,41,12,1019.4,1018.7,24.6,0.496,0.43
2020-01-02T18:00,23.5,20.8,25.0,85,0.1,0.1,96,95,42,15,1019.5,1018.8,24.1,0.496,0.45
2020-01-02T19:00,23.1,20.7,24.6,86,0.2,0.2,100,100,100,5,1020.3,1019.6,24.2,0.504,0.38
2020-01-02T20:00,23.2,20.9,25.1,87,0.9,0.9,100,100,100,3,1021.0,1020.3,23.5,0.512,0.38
2020-01-02T21:00,23.2,20.9,25.2,87,0.7,0.7,100,100,100,0,1021.2,1020.5,23.1,0.514,0.38
2020-01-02T22:00,23.3,20.9,25.4,86,0.5,0.5,100,92,100,0,1021.3,1020.6,22.9,0.513,0.4
2020-01-02T23:00,23.5,20.7,25.5,85,0.2,0.2,100,100,100,0,1021.3,1020.6,22.7,0.51,0.45
2020-01-03T00:00,23.3,20.7,25.2,85,0.2,0.2,100,99,100,16,1020.9,1020.2,22.6,0.508,0.42
2020-01-03T01:00,23.2,20.9,25.5,87,0.1,0.1,84,67,59,50,1020.3,1019.6,22.5,0.507,0.37
2020-01-03T02:00,23.1,20.4,25.5,85,0.3,0.3,100,61,100,60,1019.8,1019.1,22.4,0.507,0.43
2020-01-03T03:00,23.0,20.3,25.5,85,0.1,0.1,98,70,97,36,1019.1,1018.4,22.3,0.505,0.43
2020-01-03T04:00,23.0,20.4,25.8,86,0.0,0.0,98,56,97,7,1018.7,1018.0,22.2,0.504,0.41
2020-01-03T05:00,23.0,20.5,25.8,86,0.1,0.1,100,26,100,35,1019.0,1018.3,22.2,0.503,0.41
2020-01-03T06:00,22.9,20.4,25.6,86,0.2,0.2,97,17,95,27,1019.1,1018.4,22.1,0.503,0.4
2020-01-03T07:00,22.9,20.5,25.3,87,0.1,0.1,74,74,100,20,1019.8,1019.1,22.9,0.5,0.37
2020-01-03T08:00,23.2,20.7,25.4,86,0.7,0.7,100,58,100,0,1020.7,1020.0,22.8,0.506,0.41
2020-01-03T09:00,24.0,20.8,25.7,83,0.6,0.6,96,24,90,53,1021.1,1020.4,23.2,0.509,0.52
2020-01-03T10:00,24.6,20.9,26.0,80,0.3,0.3,68,18,45,42,1021.2,1020.5,24.1,0.508,0.63
2020-01-03T11:00,25.2,20.6,26.9,76,0.1,0.1,28,6,28,0,1020.4,1019.7,25.1,0.504,0.77
2020-01-03T12:00,25.2,20.6,27.1,75,0.0,0.0,50,2,50,0,1019.6,1018.9,25.9,0.5,0.79
2020-01-03T13:00,25.1,20.5,26.6,76,0.0,0.0,47,1,46,1,1018.9,1018.2,26.3,0.496,0.77
2020-01-03T14:00,25.1,20.3,26.6,75,0.0,0.0,34,0,27,9,1018.2,1017.5,26.6,0.492,0.81
2020-01-03T15:00,24.9,20.2,26.4,75,0.0,0.0,45,0,44,2,1018.1,1017.4,26.5,0.49,0.78
2020-01-03T16:00,24.5,20.4,26.3,78,0.0,0.0,60,0,55,13,1018.0,1017.3,26.1,0.488,0.67
2020-01-03T17:00,23.5,20.9,25.8,85,0.0,0.0,34,9,19,19,1018.1,1017.4,25.4,0.487,0.42
2020-01-03T18:00,23.4,20.7,25.9,85,0.0,0.0,55,2,34,33,1018.3,1017.6,24.6,0.487,0.44
2020-01-03T19:00,23.1,20.6,26.3,86,0.0,0.0,81,10,47,0,1019.3,1018.6,24.9,0.485,0.4
2020-01-03T20:00,23.2,20.6,26.2,85,0.0,0.0,95,2,95,2,1019.7,1019.0,24.1,0.485,0.43
2020-01-03T21:00,23.1,20.4,25.9,85,0.0,0.0,64,1,39,42,1019.8,1019.1,23.6,0.484,0.44
2020-01-03T22:00,23.1,20.7,25.9,86,0.0,0.0,89,7,31,84,1019.9,1019.2,23.2,0.484,0.38
2020-01-03T23:00,22.4,20.8,25.4,90,0.4,0.4,92,27,11,88,1019.2,1018.5,22.9,0.488,0.26
2020-01-04T00:00,22.5,20.9,25.8,91,0.4,0.4,90,16,27,86,1018.8,1018.1,22.8,0.491,0.25
2020-01-04T01:00,21.8,20.8,25.4,94,0.4,0.4,92,45,12,86,1018.5,1017.8,22.5,0.495,0.15
2020-01-04T02:00,22.1,20.9,25.6,93,0.6,0.6,95,42,47,90,1018.1,1017.4,22.4,0.501,0.2
2020-01-04T03:00,21.5,20.7,25.1,95,0.3,0.3,92,7,20,90,1017.6,1016.9,22.1,0.503,0.13
2020-01-04T04:00,21.2,20.6,24.8,97,0.0,0.0,91,1,27,89,1017.6,1016.9,21.7,0.501,0.08
2020-01-04T05:00,20.9,20.7,24.7,99,0.0,0.0,95,16,42,91,1017.9,1017.2,21.4,0.499,0.03
2020-01-04T06:00,21.4,20.8,24.8,97,0.7,0.7,97,30,49,93,1018.3,1017.6,21.5,0.507,0.08
2020-01-04T07:00,22.0,20.9,25.1,93,0.3,0.3,88,21,30,90,1018.4,1017.7,22.3,0.499,0.17
2020-01-04T08:00,22.9,20.5,25.7,86,0.4,0.4,94,22,25,92,1019.3,1018.6,22.7,0.502,0.39
2020-01-04T09:00,23.5,20.2,25.6,82,0.2,0.2,94,5,59,85,1019.7,1019.0,23.3,0.501,0.52
2020-01-04T10:00,23.5,20.1,25.4,81,0.2,0.2,97,24,70,92,1019.7,1019.0,23.7,0.501,0.55
2020-01-04T11:00,24.7,19.0,25.8,71,0.1,0.1,97,2,54,94,1019.1,1018.4,24.5,0.499,0.91
2020-01-04T12:00,25.0,18.3,26.1,67,0.0,0.0,94,1,35,92,1018.1,1017.4,25.4,0.495,1.06
2020-01-04T13:00,24.8,18.7,26.1,69,0.0,0.0,92,0,7,92,1016.9,1016.2,25.9,0.491,0.97
2020-01-04T14:00,24.9,18.7,26.5,68,0.0,0.0,94,0,2,94,1016.0,1015.3,26.4,0.487,0.99
2020-01-04T15:00,24.6,18.8,26.1,70,0.0,0.0,97,1,9,97,1015.7,1015.0,26.4,0.485,0.93
2020-01-04T16:00,24.4,18.6,25.9,70,0.0,0.0,98,2,28,97,1015.7,1015.0,25.9,0.483,0.91
2020-01-04T17:00,23.8,19.5,26.3,77,0.0,0.0,98,1,44,97,1015.9,1015.2,25.1,0.482,0.69
2020-01-04T18:00,23.4,19.9,26.4,81,0.0,0.0,97,1,29,95,1016.3,1015.6,24.3,0.482,0.55
2020-01-04T19:00,22.7,20.5,26.3,87,0.0,0.0,92,1,28,95,1017.3,1016.6,24.8,0.486,0.35
2020-01-04T20:00,22.3,20.8,26.1,91,0.0,0.0,100,10,98,94,1017.8,1017.1,24.1,0.486,0.24
2020-01-04T21:00,21.6,20.8,25.3,95,0.0,0.0,100,25,100,94,1017.8,1017.1,23.5,0.486,0.13
2020-01-04T22:00,22.1,20.7,25.3,92,0.1,0.1,96,29,86,78,1017.9,1017.2,23.2,0.487,0.21
2020-01-04T23:00,22.2,20.4,25.1,90,0.3,0.3,100,37,100,88,1017.6,1016.9,23.0,0.489,0.28
2020-01-05T00:00,22.2,20.4,25.2,90,0.1,0.1,98,10,90,86,1017.1,1016.4,22.9,0.49,0.27
2020-01-05T01:00,22.1,20.6,25.6,91,0.4,0.4,100,6,98,85,1016.9,1016.2,22.8,0.494,0.23
2020-01-05T02:00,21.7,20.7,25.5,94,0.3,0.3,100,23,100,32,1016.7,1016.0,22.6,0.496,0.16
2020-01-05T03:00,21.4,20.7,25.1,95,0.3,0.3,76,47,76,0,1016.5,1015.8,22.5,0.498,0.12
2020-01-05T04:00,20.8,20.0,23.9,95,0.3,0.3,64,3,63,0,1016.5,1015.8,22.1,0.5,0.11
2020-01-05T05:00,20.7,20.0,23.8,96,0.4,0.4,70,0,70,0,1016.8,1016.1,21.9,0.501,0.1
2020-01-05T06:00,21.6,20.6,24.8,94,0.2,0.2,65,15,65,0,1017.1,1016.4,21.7,0.502,0.15
2020-01-05T07:00,21.8,20.6,24.9,93,0.2,0.2,51,55,66,0,1018.1,1017.4,22.1,0.505,0.19
2020-01-05T08:00,22.4,20.6,25.2,89,0.6,0.6,96,47,96,2,1018.8,1018.1,22.5,0.508,0.29
2020-01-05T09:00,23.3,20.1,25.7,82,0.5,0.5,39,29,36,1,1019.0,1018.3,23.1,0.509,0.52
2020-01-05T10:00,24.2,20.1,26.9,78,0.1,0.1,70,6,66,10,1018.8,1018.1,24.3,0.506,0.66
2020-01-05T11:00,24.7,20.0,26.8,75,0.5,0.5,64,34,64,0,1018.2,1017.5,25.3,0.506,0.77
2020-01-05T12:00,24.7,20.4,26.6,77,0.2,0.2,34,3,34,0,1016.9,1016.2,25.9,0.503,0.71
2020-01-05T13:00,24.7,20.5,26.8,78,0.0,0.0,13,3,13,0,1016.1,1015.4,26.4,0.499,0.69
2020-01-05T14:00,24.5,20.5,26.9,78,0.0,0.0,15,2,15,0,1015.3,1014.6,26.8,0.495,0.66
2020-01-05T15:00,24.4,20.4,26.4,79,0.0,0.0,11,0,11,0,1015.3,1014.6,26.7,0.492,0.65
2020-01-05T16:00,24.2,19.9,26.2,77,0.0,0.0,8,0,8,0,1015.2,1014.5,26.3,0.49,0.7
2020-01-05T17:00,23.7,20.1,26.5,80,0.0,0.0,43,0,0,43,1015.7,1015.0,25.5,0.488,0.59
2020-01-05T18:00,23.2,20.4,26.4,84,0.0,0.0,13,0,13,0,1015.7,1015.0,24.5,0.488,0.46
2020-01-05T19:00,23.3,20.3,26.0,83,0.0,0.0,72,0,33,0,1016.7,1016.0,25.4,0.48,0.48
2020-01-05T20:00,23.0,20.2,26.1,84,0.0,0.0,48,0,48,0,1017.2,1016.5,24.5,0.48,0.45
2020-01-05T21:00,22.0,20.3,25.2,90,0.0,0.0,34,0,34,0,1017.3,1016.6,23.8,0.48,0.26
2020-01-05T22:00,21.3,20.5,24.6,95,0.0,0.0,36,0,36,0,1017.3,1016.6,23.3,0.48,0.13
2020-01-05T23:00,20.9,20.5,24.2,98,0.0,0.0,56,0,56,0,1016.9,1016.2,22.9,0.48,0.05
2020-01-06T00:00,20.8,20.5,24.3,98,0.2,0.2,57,0,57,0,1016.4,1015.7,22.6,0.482,0.05
2020-01-06T01:00,20.7,20.2,24.0,97,0.2,0.2,58,0,58,0,1016.1,1015.4,22.3,0.484,0.07
2020-01-06T02:00,20.7,20.1,23.8,96,0.1,0.1,48,1,48,0,1015.9,1015.2,22.1,0.485,0.09
2020-01-06T03:00,20.8,19.8,23.8,94,0.2,0.2,60,0,60,1,1015.6,1014.9,22.0,0.486,0.15
2020-01-06T04:00,20.8,19.7,23.7,94,0.0,0.0,100,1,100,0,1015.8,1015.1,21.8,0.486,0.15
2020-01-06T05:00,20.7,19.7,23.8,94,0.0,0.0,100,2,100,0,1016.1,1015.4,21.7,0.486,0.14
2020-01-06T06:00,21.1,19.8,24.2,92,0.0,0.0,97,0,97,0,1016.5,1015.8,21.7,0.486,0.19
2020-01-06T07:00,21.6,19.8,24.5,90,0.0,0.0,51,0,34,0,1017.3,1016.6,23.7,0.497,0.26
2020-01-06T08:00,22.5,19.9,25.6,86,0.0,0.0,8,1,8,0,1018.2,1017.5,23.7,0.495,0.39
2020-01-06T09:00,23.6,20.1,26.8,81,0.0,0.0,23,0,23,0,1018.7,1018.0,24.6,0.493,0.55
2020-01-06T10:00,24.5,20.1,28.0,77,0.0,0.0,51,0,51,0,1018.5,1017.8,25.9,0.49,0.71
2020-01-06T11:00,24.7,20.5,28.0,78,0.0,0.0,39,0,39,0,1017.8,1017.1,26.7,0.487,0.69
2020-01-06T12:00,24.9,20.9,28.6,79,0.0,0.0,16,0,16,0,1016.7,1016.0,27.5,0.484,0.67
2020-01-06T13:00,25.1,21.1,29.4,79,0.0,0.0,4,0,4,0,1015.5,1014.8,28.3,0.48,0.69
2020-01-06T14:00,24.8,20.9,27.6,79,0.0,0.0,15,0,15,0,1014.6,1013.9,28.4,0.477,0.66
2020-01-06T15:00,24.6,20.9,27.1,80,0.0,0.0,14,0,14,0,1014.3,1013.6,28.0,0.475,0.62
2020-01-06T16:00,24.6,21.1,27.3,81,0.0,0.0,10,1,10,0,1014.3,1013.6,27.4,0.473,0.59
2020-01-06T17:00,24.1,21.2,27.2,84,0.0,0.0,7,1,7,0,1014.6,1013.9,26.5,0.472,0.49
