time,temperature_2m,dew_point_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,cloud_cover,cloud_cover_mid,cloud_cover_low,cloud_cover_high,pressure_msl,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,vapour_pressure_deficit
2024-01-01T00:00,22.9,21.0,26.9,89,0.0,0.0,98,2,15,98,1016.3,1015.6,22.7,0.494,0.31
2024-01-01T01:00,22.4,20.9,26.5,92,0.0,0.0,100,12,96,96,1016.0,1015.3,22.4,0.494,0.23
2024-01-01T02:00,22.2,20.9,26.3,92,0.1,0.1,100,13,100,94,1015.3,1014.6,22.4,0.493,0.21
2024-01-01T03:00,22.5,20.7,26.4,90,0.1,0.1,100,13,94,98,1014.9,1014.2,22.4,0.494,0.28
2024-01-01T04:00,22.4,20.7,26.2,90,0.1,0.1,98,27,40,95,1014.7,1014.0,22.2,0.494,0.28
2024-01-01T05:00,22.7,20.4,26.3,87,0.1,0.1,99,36,29,98,1015.2,1014.5,22.1,0.494,0.37
2024-01-01T06:00,21.5,20.1,24.8,92,0.1,0.1,100,60,100,94,1015.7,1015.0,21.8,0.494,0.21
2024-01-01T07:00,22.4,20.7,26.2,90,0.3,0.3,100,68,100,99,1016.2,1015.5,22.0,0.496,0.26
2024-01-01T08:00,23.3,21.4,27.1,89,0.1,0.1,98,23,89,79,1017.6,1016.9,23.1,0.503,0.31
2024-01-01T09:00,23.8,21.5,27.5,87,0.2,0.2,83,9,57,60,1017.8,1017.1,23.6,0.503,0.38
2024-01-01T10:00,24.7,21.5,28.0,82,0.1,0.1,93,6,86,45,1017.4,1016.7,24.5,0.501,0.55
2024-01-01T11:00,25.1,21.5,28.0,81,0.2,0.2,65,23,30,38,1016.8,1016.1,25.2,0.5,0.61
2024-01-01T12:00,25.2,21.5,27.8,80,0.2,0.2,93,17,39,86,1016.2,1015.5,25.8,0.498,0.64
2024-01-01T13:00,25.2,21.3,27.6,79,0.2,0.2,92,20,29,87,1015.3,1014.6,26.1,0.496,0.66
2024-01-01T14:00,25.1,21.2,27.3,79,0.2,0.2,96,5,19,95,1014.5,1013.8,26.2,0.495,0.67
2024-01-01T15:00,25.2,20.6,27.1,76,0.1,0.1,95,5,31,93,1014.0,1013.3,26.1,0.493,0.77
2024-01-01T16:00,25.0,20.5,27.1,76,0.0,0.0,98,6,49,96,1014.1,1013.4,25.8,0.491,0.77
2024-01-01T17:00,24.6,20.8,27.4,80,0.0,0.0,96,8,33,94,1014.6,1013.9,25.2,0.49,0.63
2024-01-01T18:00,24.1,20.9,27.4,82,0.0,0.0,87,14,25,80,1014.9,1014.2,24.6,0.489,0.53
2024-01-01T19:00,23.3,21.1,27.0,87,0.0,0.0,40,6,30,8,1015.4,1014.7,24.1,0.488,0.37
2024-01-01T20:00,23.3,20.9,26.8,87,0.1,0.1,83,23,32,68,1016.6,1015.9,24.1,0.484,0.38
2024-01-01T21:00,22.9,21.1,26.5,90,0.1,0.1,86,8,20,82,1016.7,1016.0,23.7,0.485,0.29
2024-01-01T22:00,22.9,21.4,26.7,91,0.2,0.2,93,16,68,74,1016.5,1015.8,23.4,0.487,0.25
2024-01-01T23:00,22.4,21.0,26.0,92,0.2,0.2,89,16,73,52,1016.3,1015.6,23.1,0.487,0.21
2024-01-02T00:00,22.6,21.4,26.6,93,0.1,0.1,98,17,81,90,1016.1,1015.4,23.1,0.488,0.19
2024-01-02T01:00,23.0,21.0,27.1,88,0.2,0.2,100,8,30,100,1015.5,1014.8,22.9,0.49,0.33
2024-01-02T02:00,22.6,21.0,27.0,90,0.1,0.1,100,9,100,94,1014.7,1014.0,22.7,0.49,0.26
2024-01-02T03:00,22.5,21.0,26.8,92,0.2,0.2,100,7,100,93,1014.2,1013.5,22.6,0.491,0.23
2024-01-02T04:00,22.5,21.1,26.9,92,0.3,0.3,100,11,100,92,1013.9,1013.2,22.5,0.494,0.22
2024-01-02T05:00,22.4,21.4,26.9,94,0.5,0.5,100,25,100,95,1014.1,1013.4,22.6,0.5,0.16
2024-01-02T06:00,22.6,21.1,27.0,91,0.3,0.3,100,17,100,61,1014.4,1013.7,22.6,0.502,0.24
2024-01-02T07:00,22.9,21.3,27.4,91,0.2,0.2,100,21,100,79,1015.0,1014.3,22.7,0.502,0.26
2024-01-02T08:00,23.1,21.0,26.1,88,0.3,0.3,100,34,100,13,1016.4,1015.7,23.2,0.511,0.33
2024-01-02T09:00,23.4,21.0,27.1,86,0.2,0.2,100,100,100,2,1017.0,1016.3,23.4,0.509,0.39
2024-01-02T10:00,23.6,21.2,27.6,86,0.1,0.1,94,84,84,4,1017.0,1016.3,23.8,0.507,0.4
2024-01-02T11:00,23.8,21.3,27.5,86,0.2,0.2,100,93,100,70,1016.6,1015.9,24.5,0.506,0.42
2024-01-02T12:00,24.1,21.3,27.6,85,0.1,0.1,100,71,94,90,1015.6,1014.9,25.0,0.504,0.46
2024-01-02T13:00,23.8,21.2,27.2,85,0.1,0.1,100,42,85,97,1014.5,1013.8,25.2,0.502,0.43
2024-01-02T14:00,24.1,21.7,28.0,87,0.2,0.2,98,59,41,91,1013.6,1012.9,25.5,0.501,0.4
2024-01-02T15:00,24.4,22.0,28.3,86,0.0,0.0,99,30,21,99,1013.5,1012.8,25.8,0.498,0.42
