time,temperature_2m,dew_point_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,cloud_cover,cloud_cover_mid,cloud_cover_low,cloud_cover_high,pressure_msl,surface_pressure,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,vapour_pressure_deficit
2021-01-01T00:00,19.4,14.0,16.9,71,0.0,0.0,100,88,76,99,1021.6,1020.9,19.1,0.47,0.65
2021-01-01T01:00,19.4,13.5,17.0,69,0.0,0.0,100,64,82,99,1021.1,1020.4,19.0,0.469,0.7
2021-01-01T02:00,19.2,13.0,16.8,67,0.0,0.0,99,64,99,43,1020.4,1019.7,18.9,0.468,0.73
2021-01-01T03:00,19.1,13.1,16.6,68,0.0,0.0,91,50,80,56,1019.9,1019.2,18.8,0.468,0.7
2021-01-01T04:00,19.1,12.8,16.6,67,0.0,0.0,100,63,95,97,1020.2,1019.5,18.7,0.467,0.73
2021-01-01T05:00,19.0,13.3,16.0,70,0.0,0.0,84,74,83,0,1020.5,1019.8,18.7,0.466,0.67
2021-01-01T06:00,19.0,12.9,16.1,68,0.0,0.0,64,60,33,4,1021.0,1020.3,18.6,0.465,0.71
2021-01-01T07:00,19.4,14.5,17.1,73,0.0,0.0,55,85,33,0,1021.4,1020.7,19.0,0.46,0.61
2021-01-01T08:00,19.6,13.9,17.1,70,0.0,0.0,89,89,18,0,1022.2,1021.5,19.1,0.46,0.69
2021-01-01T09:00,19.8,13.7,17.1,68,0.0,0.0,57,54,24,0,1022.7,1022.0,19.4,0.458,0.74
2021-01-01T10:00,20.4,13.6,17.8,65,0.0,0.0,34,28,27,3,1022.7,1022.0,19.9,0.457,0.84
2021-01-01T11:00,20.3,14.0,17.8,67,0.0,0.0,74,18,72,0,1022.3,1021.6,20.6,0.455,0.78
2021-01-01T12:00,20.0,14.3,17.7,70,0.2,0.2,88,27,81,33,1021.6,1020.9,21.3,0.455,0.71
2021-01-01T13:00,20.0,14.2,17.7,69,0.1,0.1,100,69,100,92,1020.7,1020.0,21.7,0.454,0.72
2021-01-01T14:00,19.8,14.0,17.4,69,0.1,0.1,100,20,100,63,1020.2,1019.5,21.8,0.454,0.71
2021-01-01T15:00,19.7,13.8,17.3,69,0.1,0.1,97,49,97,0,1020.1,1019.4,21.6,0.453,0.72
2021-01-01T16:00,19.5,13.6,17.4,69,0.5,0.5,100,100,100,0,1020.2,1019.5,21.0,0.458,0.71
